site,watershed,ISCO_number,record_type,year,month,day,hour,season,julian_day,running_day_of_project,Ca_ueq_L,nmCa_ueq_L,Mg_flag,Mg_ueq_L,nmMg_ueq_L,K_flag,K_ueq_L,nmK_ueq_L,Na_ueq_L,nmNa_ueq_L,Si_flag,Si_mg_L,NH4_flag,NH4_ueq_L,Al_flag,Al_ppb,Al_org_flag,Al_org_ppb,total_N_flag,total_N_ppm,Cl_ueq_L,SO4_ueq_L,nmSO4_ueq_L,NO3_flag,NO3_ueq_L,DOC_flag,DOC_mg_L,DIC_flag,DIC_mg_L,ANC_ueq_L,sp_conductance_us_cm,discharge_L_sec,H_ueq_L,HCO3_ueq_L,pH_closed_cell,pH_air_eqll,pH_initial,pH_uneqll,apparent_color_flag,apparent_color_PCU,true_color_flag,true_color_PCU,total_P_flag,total_P_ppb,Comment
WB3,WB,,REG,1987,6,9,10,SUMMER,160.40,525.42,89,86,,35,21,,5.6,4.0,96,34,,2.4,<DL,1.40,,62,,50,,,72,105,98,,2.9,,1.2,,,22.3,26.6,,0.40,,6.06,6.40,,,<RL,1,<RL,1,,,
WB3,WB,,REG,1987,6,17,10,SUMMER,168.40,533.42,90,87,,34,19,,4.6,3.0,94,28,,2.8,<DL,1.40,,38,,33,,,76,103,95,,1.4,,1.1,,1.0,28.0,27.7,,0.37,27.10,6.05,6.43,,,<RL,4,<RL,2,,,
EB3,EB,,DUP,1987,6,17,13,SUMMER,168.50,533.54,94,92,,30,16,,2.8,1.0,87,26,,2.1,<DL,1.40,,70,,43,,,71,106,99,<RL,0.2,,,,0.7,29.6,27.1,,0.37,27.90,6.33,6.43,,,<RL,2,<RL,2,,,
EB3,EB,,REG,1987,6,17,13,SUMMER,168.50,533.54,96,93,,30,16,,2.6,1.0,90,28,,2.1,<DL,1.40,,61,,50,,,72,108,101,<RL,0.1,,1.2,,0.7,27.8,26.8,,0.39,26.20,6.28,6.41,,,<RL,1,<RL,4,,,
WB3,WB,,REG,1987,6,23,9,SUMMER,174.40,539.38,85,83,,34,20,,3.8,2.0,94,32,,2.9,<DL,1.40,,55,,41,,,72,97,90,<RL,0.4,,1.2,,1.1,34.0,25.5,,0.30,28.40,6.02,6.52,,,<RL,3,<RL,2,,,
EB3,EB,,REG,1987,6,23,10,SUMMER,174.40,539.42,105,103,,33,19,,3.3,2.0,92,29,,2.2,<DL,1.40,,70,,58,,,73,109,101,<DL,0.05,,1.4,,0.8,38.9,26.0,,0.26,35.00,6.41,6.59,,,<RL,3,<RL,3,,,
EB3,EB,,REG,1987,6,25,10,SUMMER,176.40,541.42,106,104,,34,20,,2.6,1.0,94,31,,2.3,<DL,1.40,,51,,33,,,73,105,97,<DL,0.05,,1.1,<RL,0.3,45.4,30.2,,0.15,13.00,6.40,6.81,,,<RL,1,<RL,1,,,
WB3,WB,,REG,1987,6,25,11,SUMMER,176.50,541.46,86,83,,34,19,,3.6,2.0,94,30,,3.0,<DL,1.40,,36,,20,,,75,99,91,<RL,0.7,,1.0,,1.1,32.9,28.3,,0.23,30.30,6.06,6.63,,,<RL,3,<RL,1,,,
WB3,WB,,DUP,1987,6,30,11,SUMMER,181.00,546.00,85,83,,31,19,,4.9,4.0,81,26,,2.0,<DL,1.40,,64,,47,,,65,104,97,<RL,0.9,,,,0.6,17.5,26.1,,0.50,16.30,6.05,6.30,,,<RL,2,<RL,2,,,
WB3,WB,,REG,1987,6,30,11,SUMMER,181.00,546.00,85,82,,31,18,,5.4,4.0,84,26,,2.1,<DL,1.40,,69,,51,,,67,107,100,<RL,0.7,,1.5,,0.7,19.1,25.5,,0.59,17.20,5.99,6.23,,,<RL,3,<RL,1,,,
EB3,EB,,REG,1987,6,30,16,SUMMER,181.70,546.67,82,80,,26,14,,3.3,2.0,80,26,,1.8,<DL,1.40,,124,,84,,,63,101,94,<RL,0.3,,1.7,<RL,0.3,23.8,24.0,,0.98,7.03,5.96,6.01,,,<RL,2,<RL,4,,,
